lon;lat;m_name;address;m_type;sq_km_id
37.203;55.9826;Зеленоградский нанотехнологический центр (ЗНТЦ);124527, Россия, г. Москва, Зеленоград, ул. Солнечная аллея, 6;"Машиностроение и металлообработка    (Производители микроэлектроники)";7654
37.1875;56.0119;Зеленоградский электродный завод (ЗЭЛЗ);124460, Россия, г. Москва, г. Зеленоград, ул. Конструктора Гуськова, 14;"Металлургия    (Электродные заводы)";7899
37.218;55.984;Группа компаний «Электронинвест»;124498, Россия, г. Москва, г. Зеленоград, проезд 4922-й, 4, стр. 2;"Машиностроение и металлообработка    (Электромеханические заводы)";7655
37.426155391603;55.992894220497;Центр снабжения промышленности;Московская обл., Солнечногорский р-н, деревня Носово, ул. Электромонтажная с3;"Промышленное оборудование    (Производители емкостного оборудования)";7752
37.514232084656;55.922480517457;Инпласт;Москва, Лихачёвский пр., 4, стр. 1, Долгопрудный;"Промышленное оборудование    (Производители вентиляционного оборудования)";7102
37.728254421461;55.624895010196;Oxaden;г. Москва, Борисовский проезд, 17/1, стр. 2, эт.1, ком.1а;"Химическая и нефтехимическая промышленность    (Заводы бытовой химии)";4411
37.6527;55.7084;Кухонный Завод (КУХЗАВОД МСК);МОСКВА. ул. Ленинская Слобода, д. 19;"Мебельные фабрики    (Лесная промышленность)";5144
37.446;55.6796;Очаковский комбинат ЖБИ;119361, г.Москва, ул.Наташи Ковшовой, д.14, стр. 2;"Заводы ЖБИ    (Строительные и отделочные материалы)";4883
37.7225;55.7849;Московский машиностроительный завод Вымпел (ММЗ ВЫМПЕЛ);г. Москва, ул. Вельяминовская, д. 34;"Промышленное оборудование    (Производители нестандартного оборудования)";5887
37.7571;55.7537;Научно-производственное предприятие «Салют» (НПП «Салют»);Москва, ул. Плеханова, 6;"Заводы радиоаппаратуры и радиодеталей    (Машиностроение и металлообработка)";5561
37.637;55.7596;Объединенные композитные технологии (ОКТ);Москва, 101000, Армянский переулок, 9;"Производители композитных материалов и утеплителей    (Строительные и отделочные материалы)";5635
37.6974;55.7076;Московский Бетонный Завод (МБЗ);г. Москва ул. Южнопортова, дом 9 Расстворный Узел \u0022РУ Южный порт\u0022;"Строительные и отделочные материалы    (Бетонные заводы)";5147
37.4972;55.7536;Государственный космический научно-производственный центр имени М.В.Хруничева (ГКНПЦ имени М.В.Хруничева);Москва, ул. Новозаводская, д.18;"Авиационные заводы    (Транспорт и спецтехника)";5543
37.7325;55.7903;Московский завод тепловой автоматики (МЗТА);Москва, ул. Мироновская, д.33;"Приборостроительные заводы    (Машиностроение и металлообработка)";5970
37.7134;55.7124;«Рено Россия»;109316, город Москва, Волгоградский проспект, дом 42 корпус 36;"Автомобильные заводы    (Транспорт и спецтехника)";5230
37.4406;55.7029;Завод РТИ-КАУЧУК;г. Москва, ул. Генерала Дорохова, д.6, стр. 32;"Заводы РТИ    (Химическая и нефтехимическая промышленность)";5129
37.6547;55.7038;Московский компрессорный завод (\u0022МКЗ\u0022);г. Москва, ул. Автозаводская, д.17, к.3;"Компрессорные заводы    (Машиностроение и металлообработка)";5144
37.3994;55.7263;Всероссийский институт легких сплавов (ВИЛС);г. Москва, ул. Горбунова, д. 2, стр. 153;"Заводы цветных металлов    (Металлургия)";5290
37.4596;55.8683;Московский винно-коньячный завод «КиН» (МВКЗ «КиН»);Москва, Ленинградское шоссе, д. 67;"Винные заводы    (Пищевая и с/х промышленность)";6606
